sample_id,cell_id,group,replicate,rpt_index,SOH_pct
sample_0001,G3C3,G3,C3,17,77.45128288496367
sample_0002,G7C3,G7,C3,10,78.98910170002975
sample_0003,G7C3,G7,C3,7,86.83525516379288
sample_0004,G15C3,G15,C3,28,58.42574807335512
sample_0005,G3C3,G3,C3,36,65.6504621973575
sample_0006,G8C3,G8,C3,14,73.74641944929917
sample_0007,G7C3,G7,C3,11,78.72868494509818
sample_0008,G15C3,G15,C3,15,80.32468520843302
sample_0009,G6C3,G6,C3,5,95.19072834055044
sample_0010,G6C3,G6,C3,21,67.06652433557953
sample_0011,G3C3,G3,C3,12,75.51082758272749
sample_0012,G15C3,G15,C3,0,100.0
sample_0013,G13C3,G13,C3,14,77.4178482446103
sample_0014,G3C3,G3,C3,2,97.77586931783144
sample_0015,G15C3,G15,C3,22,73.23857483068318
sample_0016,G5C3,G5,C3,12,74.92180776053232
sample_0017,G3C3,G3,C3,20,76.3246032502369
sample_0018,G8C3,G8,C3,4,94.83885491818558
sample_0019,G6C3,G6,C3,6,93.37965552281231
sample_0020,G5C3,G5,C3,18,70.35824948313204
sample_0021,G8C3,G8,C3,22,66.60603834150271
sample_0022,G6C3,G6,C3,2,98.48963767439402
sample_0023,G7C3,G7,C3,27,63.910259821355055
sample_0024,G7C3,G7,C3,33,56.280721127323105
sample_0025,G3C3,G3,C3,1,98.55863936273428
sample_0026,G15C3,G15,C3,11,91.507463671679
sample_0027,G3C3,G3,C3,25,73.82735289006492
sample_0028,G8C3,G8,C3,17,71.13020800374511
sample_0029,G3C3,G3,C3,35,66.61179906607553
sample_0030,G3C3,G3,C3,3,97.0426096072024
sample_0031,G8C3,G8,C3,0,100.0
sample_0032,G6C3,G6,C3,18,69.7031261472529
sample_0033,G3C3,G3,C3,49,49.735176890692784
sample_0034,G3C3,G3,C3,28,71.88665093308373
sample_0035,G3C3,G3,C3,37,64.63115025198033
sample_0036,G8C3,G8,C3,36,49.32827608838923
sample_0037,G13C3,G13,C3,16,73.99562461141284
sample_0038,G3C3,G3,C3,31,69.79044437094642
sample_0039,G7C3,G7,C3,38,48.020007915313485
sample_0040,G3C3,G3,C3,10,87.6797916888566
sample_0041,G3C3,G3,C3,7,93.52309865629212
sample_0042,G7C3,G7,C3,19,70.72651303546837
sample_0043,G8C3,G8,C3,10,75.64122307971857
sample_0044,G5C3,G5,C3,13,75.07164210422398
sample_0045,G15C3,G15,C3,2,97.86615454106246
sample_0046,G15C3,G15,C3,8,94.7239411311478
sample_0047,G8C3,G8,C3,5,92.54100238059338
sample_0048,G15C3,G15,C3,4,96.57022667147992
sample_0049,G13C3,G13,C3,13,76.47763809123276
sample_0050,G3C3,G3,C3,11,82.85530335730732
sample_0051,G6C3,G6,C3,28,59.88138031090175
sample_0052,G7C3,G7,C3,21,69.23453404098888
sample_0053,G3C3,G3,C3,38,63.42024923340834
sample_0054,G8C3,G8,C3,15,72.90500753490646
sample_0055,G5C3,G5,C3,27,57.41343742175823
sample_0056,G8C3,G8,C3,37,48.014295882429494
sample_0057,G8C3,G8,C3,33,53.76736934594973
sample_0058,G15C3,G15,C3,7,95.26096360073792
sample_0059,G13C3,G13,C3,12,80.82115456914738
sample_0060,G5C3,G5,C3,19,69.06074674478019
sample_0061,G7C3,G7,C3,0,100.0
sample_0062,G7C3,G7,C3,5,93.99543926092684
sample_0063,G13C3,G13,C3,20,64.0972296184632
sample_0064,G6C3,G6,C3,16,71.5793062594559
sample_0065,G13C3,G13,C3,15,75.91640563625427
sample_0066,G5C3,G5,C3,10,81.97607190422261
sample_0067,G13C3,G13,C3,11,84.85619090403492
sample_0068,G6C3,G6,C3,24,63.9880178103465
